length 256," batch 1048576"
256," fft_test_len_256_factors_8_2_8_2_wgs_64_tpt_64"," 5.49ms "
256," fft_test_len_256_factors_4_4_2_8_wgs_64_tpt_64_dirReg"," 5.49ms "
256," fft_test_len_256_factors_2_2_2_2_8_2_wgs_64_tpt_64_dirReg"," 5.5ms "
256," fft_test_len_256_factors_2_4_2_4_2_2_wgs_64_tpt_64_dirReg"," 5.5ms "
256," fft_test_len_256_factors_2_2_2_4_8_wgs_64_tpt_64_halfLds_dirReg"," 5.5ms "
256," fft_test_len_256_factors_2_2_4_8_2_wgs_64_tpt_64_dirReg"," 5.5ms "
256," fft_test_len_256_factors_4_2_2_8_2_wgs_64_tpt_64"," 5.5ms "
256," fft_test_len_256_factors_2_4_4_2_4_wgs_64_tpt_64"," 5.5ms "
256," fft_test_len_256_factors_2_4_4_4_2_wgs_64_tpt_64_dirReg"," 5.5ms "
256," fft_test_len_256_factors_2_2_2_2_2_2_2_2_wgs_64_tpt_64"," 5.51ms "
256," fft_test_len_256_factors_2_2_4_2_4_2_wgs_64_tpt_64"," 5.51ms "
256," fft_test_len_256_factors_2_2_4_4_2_2_wgs_64_tpt_64_halfLds_dirReg"," 5.51ms "
256," fft_test_len_256_factors_2_2_2_8_4_wgs_64_tpt_64"," 5.51ms "
256," fft_test_len_256_factors_2_2_8_2_4_wgs_64_tpt_64_dirReg"," 5.51ms "
256," fft_test_len_256_factors_2_4_2_2_8_wgs_64_tpt_64_dirReg"," 5.51ms "
256," fft_test_len_256_factors_2_2_4_2_8_wgs_64_tpt_64_dirReg"," 5.52ms "
256," fft_test_len_256_factors_2_2_4_8_2_wgs_64_tpt_64_halfLds_dirReg"," 5.52ms "
256," fft_test_len_256_factors_2_2_8_4_2_wgs_64_tpt_64_dirReg"," 5.52ms "
256," fft_test_len_256_factors_2_2_2_2_2_8_wgs_64_tpt_64_halfLds_dirReg"," 5.53ms "
256," fft_test_len_256_factors_2_2_2_8_2_2_wgs_64_tpt_64_dirReg"," 5.53ms "
256," fft_test_len_256_factors_2_2_4_2_8_wgs_64_tpt_64_halfLds_dirReg"," 5.53ms "
256," fft_test_len_256_factors_4_2_4_8_wgs_64_tpt_64_dirReg"," 5.53ms "
256," fft_test_len_256_factors_4_8_4_2_wgs_64_tpt_64_halfLds_dirReg"," 5.53ms "
256," fft_test_len_256_factors_4_4_8_2_wgs_64_tpt_64"," 5.54ms "
256," fft_test_len_256_factors_2_4_4_8_wgs_64_tpt_64_dirReg"," 5.55ms "
256," fft_test_len_256_factors_4_4_4_4_wgs_64_tpt_64_dirReg"," 5.55ms "
256," fft_test_len_256_factors_2_2_2_2_2_8_wgs_64_tpt_64_dirReg"," 5.56ms "
256," fft_test_len_256_factors_2_2_2_4_8_wgs_64_tpt_64_dirReg"," 5.56ms "
256," fft_test_len_256_factors_2_4_2_2_8_wgs_64_tpt_64_halfLds_dirReg"," 5.56ms "
256," fft_test_len_256_factors_2_8_4_2_2_wgs_64_tpt_64_dirReg"," 5.56ms "
256," fft_test_len_256_factors_2_4_4_2_4_wgs_64_tpt_64_dirReg"," 5.56ms "
256," fft_test_len_256_factors_2_4_4_8_wgs_64_tpt_64_halfLds_dirReg"," 5.56ms "
256," fft_test_len_256_factors_2_4_8_4_wgs_64_tpt_64"," 5.56ms "
256," fft_test_len_256_factors_2_2_2_2_8_2_wgs_64_tpt_64_halfLds_dirReg"," 5.57ms "
256," fft_test_len_256_factors_2_2_2_4_4_2_wgs_64_tpt_64"," 5.57ms "
256," fft_test_len_256_factors_2_2_4_8_2_wgs_64_tpt_64"," 5.57ms "
256," fft_test_len_256_factors_4_8_2_2_2_wgs_64_tpt_64_dirReg"," 5.57ms "
256," fft_test_len_256_factors_4_2_8_4_wgs_64_tpt_64"," 5.57ms "
256," fft_test_len_256_factors_4_2_8_2_2_wgs_64_tpt_64_halfLds_dirReg"," 5.59ms "
256," fft_test_len_256_factors_2_8_4_4_wgs_64_tpt_64_dirReg"," 5.59ms "
256," fft_test_len_256_factors_8_2_4_4_wgs_64_tpt_64_halfLds_dirReg"," 5.59ms "
256," fft_test_len_256_factors_8_2_4_4_wgs_64_tpt_64_dirReg"," 5.59ms "
256," fft_test_len_256_factors_8_4_8_wgs_64_tpt_64"," 5.59ms "
256," fft_test_len_256_factors_2_4_2_8_2_wgs_64_tpt_64_dirReg"," 5.6ms "
256," fft_test_len_256_factors_8_2_2_2_4_wgs_64_tpt_64_halfLds_dirReg"," 5.6ms "
256," fft_test_len_256_factors_4_4_4_2_2_wgs_64_tpt_64"," 5.6ms "
256," fft_test_len_256_factors_8_4_2_4_wgs_64_tpt_64_halfLds_dirReg"," 5.6ms "
256," fft_test_len_256_factors_4_8_8_wgs_64_tpt_64_dirReg"," 5.6ms "
256," fft_test_len_256_factors_2_2_2_2_8_2_wgs_64_tpt_64"," 5.61ms "
256," fft_test_len_256_factors_2_2_2_8_2_2_wgs_64_tpt_64"," 5.61ms "
256," fft_test_len_256_factors_2_2_8_2_2_2_wgs_64_tpt_64_dirReg"," 5.61ms "
256," fft_test_len_256_factors_8_4_2_4_wgs_64_tpt_64_dirReg"," 5.61ms "
256," fft_test_len_256_factors_2_2_8_4_2_wgs_64_tpt_64"," 5.63ms "
256," fft_test_len_256_factors_4_2_8_2_2_wgs_64_tpt_64"," 5.63ms "
256," fft_test_len_256_factors_8_2_2_2_4_wgs_64_tpt_64_dirReg"," 5.63ms "
256," fft_test_len_256_factors_2_4_2_8_2_wgs_64_tpt_64"," 5.64ms "
256," fft_test_len_256_factors_2_4_8_2_2_wgs_64_tpt_64_dirReg"," 5.64ms "
256," fft_test_len_256_factors_2_4_4_4_2_wgs_64_tpt_64"," 5.65ms "
256," fft_test_len_256_factors_2_4_8_2_2_wgs_64_tpt_64_halfLds_dirReg"," 5.67ms "
256," fft_test_len_256_factors_4_8_2_4_wgs_64_tpt_64_halfLds_dirReg"," 5.68ms "
256," fft_test_len_256_factors_2_4_2_8_2_wgs_64_tpt_64_halfLds_dirReg"," 5.7ms "
256," fft_test_len_256_factors_2_8_4_4_wgs_64_tpt_64"," 5.7ms "
256," fft_test_len_256_factors_2_2_8_4_2_wgs_64_tpt_64_halfLds_dirReg"," 5.71ms "
256," fft_test_len_256_factors_8_2_2_4_2_wgs_64_tpt_64_dirReg"," 5.71ms "
256," fft_test_len_256_factors_16_4_4_wgs_64_tpt_64"," 5.71ms "
256," fft_test_len_256_factors_2_2_8_2_4_wgs_64_tpt_64"," 5.72ms "
256," fft_test_len_256_factors_8_2_4_2_2_wgs_64_tpt_64_halfLds_dirReg"," 5.72ms "
256," fft_test_len_256_factors_8_4_2_2_2_wgs_64_tpt_64_halfLds_dirReg"," 5.72ms "
256," fft_test_len_256_factors_2_8_4_4_wgs_64_tpt_64_halfLds_dirReg"," 5.72ms "
256," fft_test_len_256_factors_8_8_4_wgs_64_tpt_64_halfLds_dirReg"," 5.72ms "
256," fft_test_len_256_factors_8_8_4_wgs_64_tpt_64_dirReg"," 5.72ms "
256," fft_test_len_256_factors_8_2_2_2_2_2_wgs_64_tpt_64_halfLds_dirReg"," 5.73ms "
256," fft_test_len_256_factors_8_4_2_2_2_wgs_64_tpt_64_dirReg"," 5.73ms "
256," fft_test_len_256_factors_8_4_4_2_wgs_64_tpt_64_dirReg"," 5.73ms "
256," fft_test_len_256_factors_8_2_2_4_2_wgs_64_tpt_64_halfLds_dirReg"," 5.74ms "
256," fft_test_len_256_factors_8_4_4_2_wgs_64_tpt_64_halfLds_dirReg"," 5.74ms "
256," fft_test_len_256_factors_4_4_4_4_wgs_64_tpt_64"," 5.74ms "
256," fft_test_len_256_factors_8_2_2_2_2_2_wgs_64_tpt_64_dirReg"," 5.75ms "
256," fft_test_len_256_factors_8_2_2_2_2_2_wgs_128_tpt_128"," 5.75ms "
256," fft_test_len_256_factors_2_8_2_4_2_wgs_64_tpt_64_dirReg"," 5.75ms "
256," fft_test_len_256_factors_4_8_2_2_2_wgs_64_tpt_64_halfLds_dirReg"," 5.75ms "
256," fft_test_len_256_factors_2_2_2_2_2_4_2_wgs_64_tpt_64"," 5.76ms "
256," fft_test_len_256_factors_4_2_2_2_2_4_wgs_128_tpt_128_dirReg"," 5.76ms "
256," fft_test_len_256_factors_2_4_8_2_2_wgs_64_tpt_64"," 5.76ms "
256," fft_test_len_256_factors_2_8_2_4_2_wgs_64_tpt_64"," 5.76ms "
256," fft_test_len_256_factors_2_8_4_2_2_wgs_64_tpt_64_halfLds_dirReg"," 5.76ms "
256," fft_test_len_256_factors_8_2_4_2_2_wgs_64_tpt_64_dirReg"," 5.76ms "
256," fft_test_len_256_factors_2_2_2_2_2_8_wgs_64_tpt_64"," 5.77ms "
256," fft_test_len_256_factors_2_2_2_8_2_2_wgs_64_tpt_64_halfLds_dirReg"," 5.77ms "
