Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,arch_vgpr,accum_vgpr,sgpr,wave_size,sig,GRBM_COUNT,GRBM_GUI_ACTIVE,SQ_ACTIVE_INST_VALU,SQ_INSTS_FLAT_LDS_ONLY,SQ_INSTS_LDS,SQ_INSTS_VALU,SQ_INSTS_VMEM_RD,SQ_INSTS_VMEM_WR,SQ_LDS_BANK_CONFLICT,SQ_WAIT_INST_LDS,TA_FLAT_READ_WAVEFRONTS[0],TA_FLAT_READ_WAVEFRONTS[1],TA_FLAT_READ_WAVEFRONTS[2],TA_FLAT_READ_WAVEFRONTS[3],TA_FLAT_READ_WAVEFRONTS[4],TA_FLAT_READ_WAVEFRONTS[5],TA_FLAT_READ_WAVEFRONTS[6],TA_FLAT_READ_WAVEFRONTS[7],TA_FLAT_READ_WAVEFRONTS[8],TA_FLAT_READ_WAVEFRONTS[9],TA_FLAT_READ_WAVEFRONTS[10],TA_FLAT_READ_WAVEFRONTS[11],TA_FLAT_READ_WAVEFRONTS[12],TA_FLAT_READ_WAVEFRONTS[13],TA_FLAT_READ_WAVEFRONTS[14],TA_FLAT_READ_WAVEFRONTS[15],TA_TA_BUSY[0],TA_TA_BUSY[1],TA_TA_BUSY[2],TA_TA_BUSY[3],TA_TA_BUSY[4],TA_TA_BUSY[5],TA_TA_BUSY[6],TA_TA_BUSY[7],TA_TA_BUSY[8],TA_TA_BUSY[9],TA_TA_BUSY[10],TA_TA_BUSY[11],TA_TA_BUSY[12],TA_TA_BUSY[13],TA_TA_BUSY[14],TA_TA_BUSY[15],TCC_EA_WRREQ_STALL[0],TCC_EA_WRREQ_STALL[1],TCC_EA_WRREQ_STALL[2],TCC_EA_WRREQ_STALL[3],TCC_EA_WRREQ_STALL[4],TCC_EA_WRREQ_STALL[5],TCC_EA_WRREQ_STALL[6],TCC_EA_WRREQ_STALL[7],TCC_EA_WRREQ_STALL[8],TCC_EA_WRREQ_STALL[9],TCC_EA_WRREQ_STALL[10],TCC_EA_WRREQ_STALL[11],TCC_EA_WRREQ_STALL[12],TCC_EA_WRREQ_STALL[13],TCC_EA_WRREQ_STALL[14],TCC_EA_WRREQ_STALL[15],TCC_EA1_WRREQ_STALL[0],TCC_EA1_WRREQ_STALL[1],TCC_EA1_WRREQ_STALL[2],TCC_EA1_WRREQ_STALL[3],TCC_EA1_WRREQ_STALL[4],TCC_EA1_WRREQ_STALL[5],TCC_EA1_WRREQ_STALL[6],TCC_EA1_WRREQ_STALL[7],TCC_EA1_WRREQ_STALL[8],TCC_EA1_WRREQ_STALL[9],TCC_EA1_WRREQ_STALL[10],TCC_EA1_WRREQ_STALL[11],TCC_EA1_WRREQ_STALL[12],TCC_EA1_WRREQ_STALL[13],TCC_EA1_WRREQ_STALL[14],TCC_EA1_WRREQ_STALL[15],TCC_HIT[0],TCC_HIT[1],TCC_HIT[2],TCC_HIT[3],TCC_HIT[4],TCC_HIT[5],TCC_HIT[6],TCC_HIT[7],TCC_HIT[8],TCC_HIT[9],TCC_HIT[10],TCC_HIT[11],TCC_HIT[12],TCC_HIT[13],TCC_HIT[14],TCC_HIT[15],TCC_MISS[0],TCC_MISS[1],TCC_MISS[2],TCC_MISS[3],TCC_MISS[4],TCC_MISS[5],TCC_MISS[6],TCC_MISS[7],TCC_MISS[8],TCC_MISS[9],TCC_MISS[10],TCC_MISS[11],TCC_MISS[12],TCC_MISS[13],TCC_MISS[14],TCC_MISS[15],TCP_TCP_TA_DATA_STALL_CYCLES[0],TCP_TCP_TA_DATA_STALL_CYCLES[1],TCP_TCP_TA_DATA_STALL_CYCLES[2],TCP_TCP_TA_DATA_STALL_CYCLES[3],TCP_TCP_TA_DATA_STALL_CYCLES[4],TCP_TCP_TA_DATA_STALL_CYCLES[5],TCP_TCP_TA_DATA_STALL_CYCLES[6],TCP_TCP_TA_DATA_STALL_CYCLES[7],TCP_TCP_TA_DATA_STALL_CYCLES[8],TCP_TCP_TA_DATA_STALL_CYCLES[9],TCP_TCP_TA_DATA_STALL_CYCLES[10],TCP_TCP_TA_DATA_STALL_CYCLES[11],TCP_TCP_TA_DATA_STALL_CYCLES[12],TCP_TCP_TA_DATA_STALL_CYCLES[13],TCP_TCP_TA_DATA_STALL_CYCLES[14],TCP_TCP_TA_DATA_STALL_CYCLES[15],DispatchNs,BeginNs,EndNs,CompleteNs
10,_ZL47impose_hermitian_symmetry_interleaved_1D_kernelI14rocfft_complexIdEEvPT_mmmmb,0,0,27,847,847,1000,8,0,0,8,0,32,64,0x0,19060,19060,2250,0,0,1625,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201,823,824,835,839,841,823,947,1102,1088,1095,871,1150,1162,1102,1195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,46,0,0,0,0,0,23,64,64,64,64,48,64,64,68,64,66,56,64,64,64,88,65,121,503,504,515,519,521,503,611,766,768,775,631,814,826,782,859,1319540066265774,1319540145044217,1319540145047577,1319540145481720
11,c2r_even_pre_Ndiv4_dim1_dp_CI_CI,0,0,29,847,847,65536000,256,0,0,24,0,32,64,0x0,4627362,4627362,127942136,0,0,65050000,1539000,1538000,0,0,26124,101805,102570,102864,104592,101271,102576,103137,104322,101754,102369,76494,103932,101172,101658,102360,4545505,18361040,18307289,18256994,18096156,18302451,18286062,18276812,18192369,18351637,18344447,13733195,18055745,18338791,18285669,18300561,9737,16292,12799,26441,11680,12666,13088,1075029,19148,7896,10074,10028,20122,8048,8470,10004,13959,18221,21530,24764,15720,14832,12992,1030164,25093,6882,16239,9621,42951,8190,8366,6826,951517,942752,946478,1204094,953261,947861,954297,1187421,1207272,948387,946824,947798,1200065,949491,947908,952297,2140791,2149641,2146164,2144685,2137018,2144817,2138448,2163084,2141708,2144323,2144740,2144599,2148782,2143075,2144815,2140021,3126925,12000243,12000273,11837554,12316039,11850936,11979338,11884579,12288189,11691520,11906908,8982493,12267385,12031939,12151185,12094642,1319540067571505,1319540145172854,1319540148098229,1319540148101612
12,fft_rtc_back_len_256_factors_4_4_4_4_wgs_256_tpt_64_dim_2_dp_op_CI_CI_sbcc_twdbase6_3step_dirReg,0,0,30,847,847,16384000,256,19456,0,60,0,32,64,0x0,8375123,8375123,347754734,0,9408000,73024000,3520000,1024000,59176000,13418415,59345,234245,234355,235125,236995,233585,233860,235070,237380,232980,234080,176165,236610,233200,232760,234245,4822586,19599971,19501078,19478765,19266142,19621337,19566590,19486430,19231611,19652044,19564595,14655734,19279026,19682271,19625184,19547059,1221,886,912,704,782,1053,1455,889,584,843,1191,1520,916,1108,1051,464,1200,1045,769,875,652,1415,1349,989,819,859,1191,1523,1193,708,862,792,162390,133127,98308,161758,73866,161828,162411,202192,162421,133150,98308,162122,98441,161710,162482,140137,2048008,2048012,2048008,2048015,2048007,2048012,2048008,2048014,2048008,2048013,2048008,2048012,2048007,2048015,2048012,2048012,1379412,5832225,5871042,5779165,5588397,5959181,5898798,5803444,5589235,6010654,5958769,4332853,5578405,6002564,5965179,5850375,1319540068884836,1319540148217746,1319540153520827,1319540153524097
13,fft_rtc_back_len_256_factors_8_8_4_wgs_256_tpt_32_dim_2_dp_op_CI_CI_unitstride_sbrc_aligned_dirReg,0,0,31,847,847,8192000,256,32768,0,68,0,32,64,0x0,5601947,5601947,211226817,0,6144000,39552000,2688000,1024000,57344000,19124641,45612,177828,177576,178416,181608,178752,178332,179340,182532,178416,178332,134484,181776,177912,177996,179088,2940992,11998355,11908934,11920092,11770225,12045423,11912754,11991230,11794467,11975822,11957018,8951004,11824218,12099029,12000684,12052664,5974,10128,4828,6918,7323,11814,5747,11842,7275,10670,3186,14127,6277,10723,6087,9922,6567,11802,6749,10628,7566,14372,8689,13823,6592,10429,4856,10379,7508,5964,7424,9160,116876,136439,116882,116300,58746,116309,116352,139869,116306,134138,116772,116236,116882,116342,116628,124452,2048008,2048008,2048008,2048010,2048006,2048007,2048008,2048013,2048008,2048009,2048008,2048004,2048008,2048008,2048012,2048009,1155130,4947735,4906612,4855466,4627217,4932411,4877812,4867929,4594412,4911979,4893700,3603545,4646380,4974603,4952335,4893899,1319540070131827,1319540153640824,1319540157181385,1319540157184620
14,_ZL39generate_random_interleaved_data_kernelI12input_val_1DImEdEvT_S2_mmS2_P14rocfft_complexIT0_ES2_mS2_m,0,0,33,847,847,65537024,8,0,0,36,0,32,64,0x0,56832008,56832008,3399744034,0,0,2244642277,0,16384250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17346245,50128727,57461041,50933059,46905763,52020852,47533948,56218619,51743498,53555655,53826777,42166030,52374492,56929255,55421129,53182417,603,797,0,725,771,789,804,896,182,777,798,445,383,927,783,915,814,761,901,783,443,783,514,703,803,735,763,798,911,564,875,23,1024108,1024016,1024108,1024016,1024104,1024108,1024108,1024016,1024016,1024016,1024106,1024062,1024108,1024062,1024108,1024016,1024289,1024378,1024292,1024359,1024276,1024390,1024512,1024690,1025041,1024388,1024216,1026031,1024264,1024890,1024165,1024463,2857933,7633056,9240376,7765364,6899663,7952595,7080487,8935186,7984275,8365522,8345073,6635342,8094068,8988303,8725923,8373217,1319540157347780,1319540159002144,1319540195029657,1319540195058362
15,_ZL47impose_hermitian_symmetry_interleaved_1D_kernelI14rocfft_complexIdEEvPT_mmmmb,0,0,34,847,847,1000,8,0,0,8,0,32,64,0x0,26370,26370,2250,0,0,1625,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,931,2032,1968,2292,1554,1450,1567,857,837,841,850,639,1427,2096,2059,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,46,0,0,0,23,0,0,88,64,64,64,48,66,70,68,128,66,80,128,64,65,65,64,835,1712,1648,1956,1234,1130,1247,537,517,521,530,399,1091,1760,1723,1701,1319540158990892,1319540195156694,1319540195164214,1319540195617202
16,c2r_even_pre_Ndiv4_dim1_dp_CI_CI,0,0,36,847,847,65536000,256,0,0,24,0,32,64,0x0,4621200,4621200,127944707,0,0,65050000,1539000,1538000,0,0,26097,101418,102102,102348,104865,102174,102684,102219,104136,101859,102609,76380,104610,101547,102087,101865,4562263,18342351,18333278,18314274,18190059,18296190,18317145,18348239,18167439,18328111,18329203,13752219,18161280,18320312,18308584,18333853,12238,20823,13482,31006,13828,11973,11377,1259155,24087,11945,12080,9726,18511,8841,12431,8390,12994,13356,22300,34357,17278,12663,12997,768248,31817,8806,9748,9967,44060,12842,11645,9011,952425,943174,947910,1204029,953979,947359,955155,1188558,1206747,948944,947870,948459,1201132,949991,949463,953159,2140372,2149709,2145239,2144867,2136610,2145384,2138332,2161652,2142052,2144258,2144006,2144043,2148265,2143129,2143710,2139318,3143709,12014664,11988002,12285088,12190993,11851538,11902179,12115419,12236656,11656685,12091466,9102786,12058699,11973680,11983728,12221021,1319540160248213,1319540195292211,1319540198209906,1319540198213314
17,fft_rtc_back_len_256_factors_4_4_4_4_wgs_256_tpt_64_dim_2_dp_op_CI_CI_sbcc_twdbase6_3step_dirReg,0,0,37,847,847,16384000,256,19456,0,60,0,32,64,0x0,8365355,8365355,347754075,0,9408000,73024000,3520000,1024000,59176000,13435360,59290,233585,233970,234520,237655,234465,233475,234905,237160,233255,233750,176000,236830,233475,233145,234520,4823840,19559784,19587857,19527246,19200220,19542421,19563215,19441097,19240700,19610024,19579620,14548603,19286868,19624995,19564888,19488507,1140,798,841,876,1499,1274,1052,799,490,1351,1187,639,1190,1482,1139,579,1670,726,1472,1209,805,1098,1731,961,852,1082,787,1028,1267,915,1365,1237,162491,133216,98421,161810,73862,161973,162513,202222,162510,133239,98421,162222,98516,161810,162583,140353,2048008,2048012,2048008,2048016,2048007,2048014,2048008,2048014,2048009,2048013,2048008,2048012,2048007,2048017,2048012,2048012,1385633,5901284,5903356,5820571,5550045,5835063,5951202,5788600,5535655,5897469,5927553,4344619,5601118,5927535,5932585,5909633,1319540161532804,1319540198332303,1319540203626105,1319540203629499
18,fft_rtc_back_len_256_factors_8_8_4_wgs_256_tpt_32_dim_2_dp_op_CI_CI_unitstride_sbrc_aligned_dirReg,0,0,38,847,847,8192000,256,32768,0,68,0,32,64,0x0,5594588,5594588,211228720,0,6144000,39552000,2688000,1024000,57344000,19283400,45276,177996,177744,178668,181944,177576,178080,178836,182112,178584,177912,134736,182280,178500,178164,179592,2914895,11848423,11921953,11896985,11753510,11896671,11907525,11917648,11708935,12032419,11944640,8965936,11885774,12042174,11969643,12071441,4250,12655,5577,12337,6750,7812,6525,14837,8597,7019,3197,8244,3081,9637,9662,10944,8304,12488,9192,7705,5993,8281,7112,10094,8685,7339,3577,8232,3845,6978,5035,10399,117216,137254,117226,116530,58420,116687,116786,140022,116558,134197,117134,116694,117220,116670,117024,125738,2048008,2048008,2048008,2048009,2048006,2048007,2048008,2048012,2048006,2048009,2048008,2048006,2048008,2048008,2048010,2048008,1132607,4831040,4914616,4842178,4625032,4889232,4867093,4816493,4561805,4914936,4905136,3585369,4681978,4915419,4893739,4906644,1319540162803535,1319540203746582,1319540207285703,1319540207288932
19,_ZL39generate_random_interleaved_data_kernelI12input_val_1DImEdEvT_S2_mmS2_P14rocfft_complexIT0_ES2_mS2_m,0,0,40,847,847,65537024,8,0,0,36,0,32,64,0x0,56831769,56831769,3399747319,0,0,2244642277,0,16384250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13607710,55183058,56737711,60268805,53665418,57495362,55098859,53397196,61698094,55494987,57588860,39217125,55928094,55066813,54006366,52009302,648,782,0,770,772,809,805,916,236,773,786,404,231,896,685,927,822,779,935,785,510,799,547,726,848,721,747,836,909,589,879,45,1024108,1024016,1024108,1024016,1024104,1024108,1024108,1024016,1024016,1024016,1024106,1024108,1024108,1024016,1024108,1024016,1024143,1024308,1024184,1024391,1024201,1024385,1024301,1024593,1024557,1024302,1024210,1025521,1024149,1024838,1024145,1024462,2134883,8773435,8987577,9645357,8276610,9138731,8613160,8327358,10055516,8857693,9129087,6023121,8933145,8633269,8426407,7947978,1319540207446902,1319540209000718,1319540245029034,1319540245062703
