length 128," batch 2097152"
128," fft_test_len_128_factors_4_8_2_2_wgs_128_tpt_128"," 12.2ms "
128," fft_test_len_128_factors_4_16_2_wgs_64_tpt_64"," 12.2ms "
128," fft_test_len_128_factors_2_2_4_8_wgs_128_tpt_128_halfLds_dirReg"," 12.3ms "
128," fft_test_len_128_factors_2_4_8_2_wgs_128_tpt_128_halfLds_dirReg"," 12.3ms "
128," fft_test_len_128_factors_2_8_2_4_wgs_128_tpt_128_halfLds_dirReg"," 12.3ms "
128," fft_test_len_128_factors_2_8_4_2_wgs_128_tpt_128_dirReg"," 12.3ms "
128," fft_test_len_128_factors_4_2_8_2_wgs_128_tpt_128"," 12.3ms "
128," fft_test_len_128_factors_2_2_8_4_wgs_128_tpt_128_halfLds_dirReg"," 12.4ms "
128," fft_test_len_128_factors_4_2_16_wgs_64_tpt_64"," 12.4ms "
128," fft_test_len_128_factors_2_8_2_2_2_wgs_128_tpt_128_halfLds_dirReg"," 12.6ms "
128," fft_test_len_128_factors_4_2_8_2_wgs_128_tpt_128_halfLds_dirReg"," 12.6ms "
128," fft_test_len_128_factors_2_4_16_wgs_64_tpt_64"," 12.6ms "
128," fft_test_len_128_factors_2_16_4_wgs_64_tpt_64"," 12.6ms "
128," fft_test_len_128_factors_2_2_8_4_wgs_128_tpt_128"," 12.7ms "
128," fft_test_len_128_factors_2_4_8_2_wgs_128_tpt_128"," 12.7ms "
128," fft_test_len_128_factors_2_2_2_2_8_wgs_128_tpt_128_halfLds_dirReg"," 12.8ms "
128," fft_test_len_128_factors_2_2_8_2_2_wgs_128_tpt_128_halfLds_dirReg"," 12.8ms "
128," fft_test_len_128_factors_2_8_2_4_wgs_128_tpt_128"," 12.8ms "
128," fft_test_len_128_factors_4_2_16_wgs_64_tpt_64_dirReg"," 12.8ms "
128," fft_test_len_128_factors_2_2_8_2_2_wgs_128_tpt_128"," 12.9ms "
128," fft_test_len_128_factors_2_8_2_2_2_wgs_128_tpt_128"," 12.9ms "
128," fft_test_len_128_factors_2_4_16_wgs_64_tpt_64_dirReg"," 12.9ms "
128," fft_test_len_128_factors_8_8_2_wgs_128_tpt_128"," 12.9ms "
128," fft_test_len_128_factors_2_2_2_8_2_wgs_128_tpt_128_halfLds_dirReg"," 13ms "
128," fft_test_len_128_factors_2_2_2_8_2_wgs_128_tpt_128"," 13ms "
128," fft_test_len_128_factors_2_8_4_2_wgs_128_tpt_128_halfLds_dirReg"," 13ms "
128," fft_test_len_128_factors_2_8_4_2_wgs_128_tpt_128"," 13ms "
128," fft_test_len_128_factors_2_8_8_wgs_128_tpt_128_dirReg"," 13ms "
128," fft_test_len_128_factors_4_16_2_wgs_64_tpt_64_halfLds_dirReg"," 13.1ms "
128," fft_test_len_128_factors_2_16_4_wgs_64_tpt_64_dirReg"," 13.2ms "
128," fft_test_len_128_factors_16_2_4_wgs_128_tpt_128_dirReg"," 13.3ms "
128," fft_test_len_128_factors_4_2_16_wgs_64_tpt_64_halfLds_dirReg"," 13.5ms "
128," fft_test_len_128_factors_2_8_8_wgs_128_tpt_128_halfLds_dirReg"," 13.5ms "
128," fft_test_len_128_factors_2_2_2_16_wgs_64_tpt_64_dirReg"," 13.6ms "
128," fft_test_len_128_factors_2_2_16_2_wgs_64_tpt_64_dirReg"," 13.6ms "
128," fft_test_len_128_factors_16_4_2_wgs_128_tpt_128_dirReg"," 13.6ms "
128," fft_test_len_128_factors_2_2_2_16_wgs_64_tpt_64_halfLds_dirReg"," 13.7ms "
128," fft_test_len_128_factors_2_4_16_wgs_64_tpt_64_halfLds_dirReg"," 13.7ms "
128," fft_test_len_128_factors_2_8_8_wgs_128_tpt_128"," 13.8ms "
