Stage,Length,Factors,WGS,TPT,Total_Time_ms
512K_z2z_1024_sbrr,1024,"[16, 16, 2, 2]",512,256,73.24828109090909
512K_z2z_1024_sbrr,1024,"[16, 8, 2, 2, 2]",256,128,73.403804
512K_z2z_1024_sbrr,1024,"[16, 16, 4]",1024,512,73.62447863636363
512K_z2z_1024_sbrr,1024,"[16, 16, 4]",256,128,73.688677
512K_z2z_1024_sbrr,1024,"[16, 16, 2, 2]",256,256,73.8063989090909
512K_z2z_1024_sbrr,1024,"[16, 16, 2, 2]",128,128,73.85717536363636
512K_z2z_1024_sbrr,1024,"[4, 2, 2, 2, 2, 2, 2, 2, 2]",128,128,74.32194936363636
512K_z2z_1024_sbrr,1024,"[16, 4, 4, 2, 2]",256,128,74.346162
512K_z2z_1024_sbrr,1024,"[8, 4, 2, 2, 2, 2, 2]",256,128,74.41364927272727
512K_z2z_1024_sbrr,1024,"[16, 16, 2, 2]",256,128,75.24370372727273
512K_z2z_1024_sbrr,1024,"[16, 2, 2, 2, 2, 2, 2]",128,128,75.25973918181819
512K_z2z_1024_sbrr,1024,"[16, 4, 2, 2, 2, 2]",128,128,75.53930681818181
512K_z2z_1024_sbrr,1024,"[4, 4, 2, 2, 2, 2, 2, 2]",256,128,75.84808236363637
512K_z2z_1024_sbrr,1024,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",128,128,76.10218627272727
512K_z2z_1024_sbrr,1024,"[8, 2, 2, 2, 2, 2, 2, 2]",256,128,76.10611718181819
512K_z2z_1024_sbrr,1024,"[16, 4, 2, 2, 2, 2]",256,128,76.82089036363637
512K_z2z_512_sbrr,512,"[2, 2, 2, 2, 2, 2, 2, 2, 2]",128,128,77.56648654545455
512K_z2z_1024_sbrr,1024,"[16, 16, 4]",64,64,77.58954663636364
512K_z2z_1024_sbrr,1024,"[16, 2, 2, 2, 2, 2, 2]",256,128,77.86306963636365
512K_z2z_1024_sbrr,1024,"[8, 8, 8, 2]",64,64,78.62609836363636
512K_z2z_1024_sbrr,1024,"[16, 16, 4]",128,64,78.63871745454546
512K_z2z_1024_sbrr,1024,"[4, 4, 4, 4, 4]",1024,256,78.75537845454545
512K_z2z_1024_sbrr,1024,"[16, 8, 8]",64,64,78.76342581818182
512K_z2z_1024_sbrr,1024,"[8, 8, 4, 4]",64,64,79.1075450909091
512K_z2z_512_sbrr,512,"[2, 2, 2, 2, 2, 2, 2, 2, 2]",256,128,79.26944981818181
512K_z2z_1024_sbrr,1024,"[16, 8, 8]",128,64,79.45014545454545
512K_z2z_1024_sbrr,1024,"[4, 2, 2, 2, 2, 2, 2, 2, 2]",256,128,80.16871863636364
512K_z2z_1024_sbrr,1024,"[8, 8, 8, 2]",128,64,81.28096881818182
512K_z2z_1024_sbrr,1024,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",256,128,81.295407
512K_z2z_1024_sbrr,1024,"[4, 4, 4, 4, 2, 2]",1024,256,81.3804589090909
512K_z2z_1024_sbrr,1024,"[16, 4, 4, 4]",64,64,81.8440818181818
512K_z2z_1024_sbrr,1024,"[16, 16, 2, 2]",64,64,81.95739472727273
512K_z2z_1024_sbrr,1024,"[8, 8, 4, 4]",128,64,82.44554327272726
512K_z2z_1024_sbrr,1024,"[16, 8, 4, 2]",64,64,83.13322754545455
512K_z2z_1024_sbrr,1024,"[8, 8, 4, 2, 2]",64,64,83.92186090909091
512K_z2z_1024_sbrr,1024,"[4, 4, 4, 4, 4]",64,64,84.16431645454546
512K_z2z_1024_sbrr,1024,"[16, 16, 2, 2]",128,64,85.31455936363636
512K_z2z_1024_sbrr,1024,"[16, 4, 4, 4]",128,64,85.42529672727274
512K_z2z_1024_sbrr,1024,"[4, 4, 4, 2, 2, 2, 2]",1024,256,86.26298745454545
512K_z2z_1024_sbrr,1024,"[16, 8, 4, 2]",128,64,86.30349481818182
512K_z2z_1024_sbrr,1024,"[8, 4, 4, 2, 2, 2]",1024,256,86.44396127272726
512K_z2z_1024_sbrr,1024,"[8, 4, 4, 4, 2]",64,64,86.71969781818181
512K_z2z_1024_sbrr,1024,"[8, 8, 4, 4]",1024,256,86.85925254545455
512K_z2z_1024_sbrr,1024,"[8, 8, 2, 2, 2, 2]",64,64,87.47181654545454
512K_z2z_1024_sbrr,1024,"[8, 4, 4, 2, 2, 2]",64,64,88.45465472727274
512K_z2z_1024_sbrr,1024,"[16, 8, 2, 2, 2]",64,64,88.52964845454545
512K_z2z_1024_sbrr,1024,"[8, 8, 4, 2, 2]",1024,256,88.57173663636364
512K_z2z_1024_sbrr,1024,"[4, 4, 4, 4, 4]",128,64,89.10803154545455
512K_z2z_512_sbrr,512,"[2, 2, 2, 2, 2, 2, 2, 2, 2]",1024,256,89.161686
512K_z2z_1024_sbrr,1024,"[8, 4, 2, 2, 2, 2, 2]",1024,256,89.18176454545454
512K_z2z_1024_sbrr,1024,"[4, 4, 4, 4, 2, 2]",64,64,89.2447599090909
512K_z2z_1024_sbrr,1024,"[16, 4, 4, 2, 2]",64,64,89.57473372727273
512K_z2z_512_sbrr,512,"[2, 2, 2, 2, 2, 2, 2, 2, 2]",64,64,89.8078349090909
512K_z2z_1024_sbrr,1024,"[16, 4, 2, 2, 2, 2]",64,64,90.24231354545455
512K_z2z_1024_sbrr,1024,"[8, 8, 8, 2]",1024,256,90.591852
512K_z2z_1024_sbrr,1024,"[8, 2, 2, 2, 2, 2, 2, 2]",1024,256,90.85642318181819
512K_z2z_1024_sbrr,1024,"[4, 4, 4, 2, 2, 2, 2]",64,64,91.09283963636364
512K_z2z_1024_sbrr,1024,"[8, 8, 2, 2, 2, 2]",1024,256,91.2688460909091
512K_z2z_1024_sbrr,1024,"[4, 4, 2, 2, 2, 2, 2, 2]",1024,256,91.28088727272727
512K_z2z_1024_sbrr,1024,"[4, 2, 2, 2, 2, 2, 2, 2, 2]",1024,256,91.30673063636364
512K_z2z_1024_sbrr,1024,"[8, 4, 4, 4, 2]",128,64,91.95205672727273
512K_z2z_1024_sbrr,1024,"[8, 8, 4, 2, 2]",128,64,92.06363854545455
512K_z2z_1024_sbrr,1024,"[16, 4, 4, 2, 2]",128,64,92.1143960909091
512K_z2z_1024_sbrr,1024,"[8, 8, 8, 2]",512,128,92.76260645454545
512K_z2z_1024_sbrr,1024,"[16, 8, 2, 2, 2]",128,64,93.11615936363636
512K_z2z_1024_sbrr,1024,"[8, 8, 2, 2, 2, 2]",128,64,93.5560161818182
512K_z2z_1024_sbrr,1024,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",1024,256,94.132073
512K_z2z_1024_sbrr,1024,"[8, 4, 2, 2, 2, 2, 2]",64,64,94.44437072727274
512K_z2z_1024_sbrr,1024,"[4, 4, 4, 4, 2, 2]",128,64,95.06234463636365
512K_z2z_512_sbrr,512,"[2, 2, 2, 2, 2, 2, 2, 2, 2]",128,64,95.08424836363636
512K_z2z_1024_sbrr,1024,"[16, 2, 2, 2, 2, 2, 2]",64,64,95.47144881818181
512K_z2z_1024_sbrr,1024,"[8, 4, 4, 2, 2, 2]",128,64,96.3895159090909
512K_z2z_1024_sbrr,1024,"[16, 4, 4, 4]",1024,256,97.30797681818181
512K_z2z_1024_sbrr,1024,"[8, 8, 4, 4]",512,128,98.47645318181819
512K_z2z_1024_sbrr,1024,"[16, 4, 2, 2, 2, 2]",128,64,98.84993336363635
512K_z2z_1024_sbrr,1024,"[8, 2, 2, 2, 2, 2, 2, 2]",64,64,98.861615
512K_z2z_1024_sbrr,1024,"[4, 4, 2, 2, 2, 2, 2, 2]",64,64,99.81122318181819
512K_z2z_1024_sbrr,1024,"[4, 4, 4, 2, 2, 2, 2]",128,64,99.83626154545455
512K_z2z_1024_sbrr,1024,"[4, 4, 4, 4, 4]",512,128,100.60913663636364
512K_z2z_1024_sbrr,1024,"[8, 8, 4, 2, 2]",512,128,101.6835440909091
512K_z2z_1024_sbrr,1024,"[8, 4, 4, 4, 2]",512,128,102.6412729090909
512K_z2z_1024_sbrr,1024,"[16, 8, 8]",512,128,102.925855
512K_z2z_1024_sbrr,1024,"[16, 4, 2, 2, 2, 2]",1024,256,103.07025781818182
512K_z2z_1024_sbrr,1024,"[8, 4, 2, 2, 2, 2, 2]",128,64,103.19728518181819
512K_z2z_1024_sbrr,1024,"[4, 2, 2, 2, 2, 2, 2, 2, 2]",64,64,104.11581245454545
512K_z2z_1024_sbrr,1024,"[16, 8, 4, 2]",1024,256,104.78326472727274
512K_z2z_512_sbrr,512,"[2, 2, 2, 2, 2, 2, 2, 2, 2]",512,128,105.09607854545455
512K_z2z_1024_sbrr,1024,"[16, 4, 4, 2, 2]",1024,256,105.51595445454545
512K_z2z_1024_sbrr,1024,"[16, 2, 2, 2, 2, 2, 2]",128,64,105.6454719090909
512K_z2z_1024_sbrr,1024,"[16, 4, 4, 4]",512,128,105.7707191818182
512K_z2z_1024_sbrr,1024,"[8, 4, 4, 2, 2, 2]",512,128,105.83690745454545
512K_z2z_1024_sbrr,1024,"[16, 8, 8]",1024,256,105.87670654545455
512K_z2z_1024_sbrr,1024,"[8, 8, 2, 2, 2, 2]",512,128,106.07865136363635
512K_z2z_512_sbrr,512,"[2, 2, 2, 2, 2, 2, 2, 2, 2]",1024,128,106.16756772727274
512K_z2z_1024_sbrr,1024,"[4, 4, 4, 4, 2, 2]",512,128,106.29249327272727
512K_z2z_1024_sbrr,1024,"[4, 4, 2, 2, 2, 2, 2, 2]",128,64,107.36584409090909
512K_z2z_1024_sbrr,1024,"[16, 8, 2, 2, 2]",1024,256,107.37371418181819
512K_z2z_1024_sbrr,1024,"[8, 2, 2, 2, 2, 2, 2, 2]",128,64,107.43092072727273
512K_z2z_1024_sbrr,1024,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",64,64,107.72802818181819
512K_z2z_1024_sbrr,1024,"[16, 2, 2, 2, 2, 2, 2]",1024,256,108.03452390909091
512K_z2z_1024_sbrr,1024,"[16, 8, 4, 2]",512,128,109.15928036363636
512K_z2z_1024_sbrr,1024,"[4, 4, 4, 2, 2, 2, 2]",512,128,111.74317945454546
512K_z2z_1024_sbrr,1024,"[16, 4, 4, 2, 2]",512,128,111.904707
512K_z2z_1024_sbrr,1024,"[16, 16, 4]",512,128,111.91338890909091
512K_z2z_1024_sbrr,1024,"[8, 4, 2, 2, 2, 2, 2]",512,128,112.67916136363635
512K_z2z_1024_sbrr,1024,"[16, 16, 2, 2]",1024,256,113.30855554545455
