Mode,Stage,Length,Factors,WGS,TPT,GPU_Time_ms
z2z,N=262144_Stage1_512_sbrc,512,"[8, 4, 4, 4]",128,64,20.15493
z2z,N=262144_Stage1_512_sbrc,512,"[8, 4, 2, 2, 2, 2]",256,128,20.157191
z2z,N=262144_Stage2_512_sbcc,512,"[16, 16, 2]",256,128,20.163765
z2z,N=262144_Stage1_512_sbrc,512,"[16, 8, 4]",256,32,20.180563
z2z,N=262144_Stage1_512_sbrc,512,"[4, 4, 4, 4, 2]",64,32,20.183623
z2z,N=262144_Stage1_512_sbrc,512,"[16, 8, 4]",128,32,20.186132
z2z,N=262144_Stage2_512_sbcc,512,"[8, 4, 4, 4]",256,64,20.201283
z2z,N=262144_Stage2_512_sbcc,512,"[8, 4, 4, 4]",512,64,20.207948
z2z,N=262144_Stage2_512_sbcc,512,"[8, 4, 4, 4]",1024,64,20.211834
z2z,N=262144_Stage2_512_sbcc,512,"[4, 4, 4, 2, 2, 2]",512,256,20.223791
z2z,N=262144_Stage1_512_sbrc,512,"[16, 4, 2, 2, 2]",128,64,20.227553
z2z,N=262144_Stage2_512_sbcc,512,"[16, 4, 4, 2]",512,128,20.230675
z2z,N=262144_Stage2_512_sbcc,512,"[16, 8, 4]",512,128,20.230934
z2z,N=262144_Stage1_512_sbrc,512,"[8, 8, 2, 2, 2]",256,128,20.232416
z2z,N=262144_Stage1_512_sbrc,512,"[8, 8, 4, 2]",256,128,20.236866
z2z,N=262144_Stage2_512_sbcc,512,"[16, 8, 4]",1024,128,20.238522
z2z,N=262144_Stage1_512_sbrc,512,"[8, 4, 4, 2, 2]",512,64,20.239933
z2z,N=262144_Stage1_512_sbrc,512,"[8, 8, 4, 2]",128,64,20.240125
z2z,N=262144_Stage2_512_sbcc,512,"[16, 4, 4, 2]",1024,128,20.243091
z2z,N=262144_Stage1_512_sbrc,512,"[4, 4, 4, 4, 2]",128,32,20.244066
z2z,N=262144_Stage1_512_sbrc,512,"[4, 4, 2, 2, 2, 2, 2]",1024,128,20.247267
z2z,N=262144_Stage1_512_sbrc,512,"[4, 4, 4, 4, 2]",256,32,20.247834
z2z,N=262144_Stage1_512_sbrc,512,"[8, 4, 4, 2, 2]",256,64,20.252052
z2z,N=262144_Stage1_512_sbrc,512,"[4, 4, 2, 2, 2, 2, 2]",512,128,20.253414
z2z,N=262144_Stage1_512_sbrc,512,"[4, 4, 4, 2, 2, 2]",256,64,20.25514
z2z,N=262144_Stage1_512_sbrc,512,"[16, 8, 2, 2]",1024,128,20.258325
z2z,N=262144_Stage1_512_sbrc,512,"[16, 8, 2, 2]",512,128,20.259975
z2z,N=262144_Stage1_512_sbrc,512,"[4, 4, 4, 2, 2, 2]",512,64,20.264471
z2z,N=262144_Stage2_512_sbcc,512,"[8, 4, 4, 2, 2]",1024,128,20.265095
z2z,N=262144_Stage2_512_sbcc,512,"[8, 4, 4, 2, 2]",512,128,20.270254
z2z,N=262144_Stage2_512_sbcc,512,"[8, 8, 4, 2]",1024,128,20.271589
z2z,N=262144_Stage2_512_sbcc,512,"[8, 8, 4, 2]",512,128,20.27552
z2z,N=262144_Stage1_512_sbrc,512,"[8, 4, 4, 4]",1024,128,20.277473
