Mode,Stage,Length,Factors,WGS,TPT,GPU_Time_ms
d2z,N=262144_Stage1_512_sbrc,512,"[8, 2, 2, 2, 2, 2, 2]",1024,256,123.987928
d2z,N=262144_Stage1_512_sbrc,512,"[8, 2, 2, 2, 2, 2, 2]",1024,512,126.236934
d2z,N=262144_Stage1_512_sbrc,512,"[16, 8, 2, 2]",64,16,124.027773
d2z,N=262144_Stage1_512_sbrc,512,"[16, 8, 2, 2]",64,32,122.87435
d2z,N=262144_Stage1_512_sbrc,512,"[16, 8, 2, 2]",64,64,126.390024
d2z,N=262144_Stage1_512_sbrc,512,"[16, 8, 2, 2]",128,16,123.999874
d2z,N=262144_Stage1_512_sbrc,512,"[16, 8, 2, 2]",128,32,123.241087
d2z,N=262144_Stage1_512_sbrc,512,"[16, 8, 2, 2]",128,64,122.851782
d2z,N=262144_Stage1_512_sbrc,512,"[16, 8, 2, 2]",128,128,124.290441
d2z,N=262144_Stage1_512_sbrc,512,"[16, 8, 2, 2]",256,32,123.273446
d2z,N=262144_Stage1_512_sbrc,512,"[16, 8, 2, 2]",256,64,122.888064
d2z,N=262144_Stage1_512_sbrc,512,"[16, 8, 2, 2]",256,128,122.957311
d2z,N=262144_Stage1_512_sbrc,512,"[16, 8, 2, 2]",256,256,124.196088
d2z,N=262144_Stage1_512_sbrc,512,"[16, 8, 2, 2]",512,64,122.884726
d2z,N=262144_Stage1_512_sbrc,512,"[16, 8, 2, 2]",512,128,123.034223
d2z,N=262144_Stage1_512_sbrc,512,"[16, 8, 2, 2]",512,256,124.153269
d2z,N=262144_Stage1_512_sbrc,512,"[16, 8, 2, 2]",512,512,127.828597
d2z,N=262144_Stage1_512_sbrc,512,"[16, 8, 2, 2]",1024,128,123.069142
d2z,N=262144_Stage1_512_sbrc,512,"[16, 8, 2, 2]",1024,256,143.891375
d2z,N=262144_Stage1_512_sbrc,512,"[16, 8, 2, 2]",1024,512,167.831984
d2z,N=262144_Stage1_512_sbrc,512,"[8, 4, 2, 2, 2, 2]",64,16,124.854635
d2z,N=262144_Stage1_512_sbrc,512,"[8, 4, 2, 2, 2, 2]",64,32,123.346802
d2z,N=262144_Stage1_512_sbrc,512,"[8, 4, 2, 2, 2, 2]",64,64,124.157278
d2z,N=262144_Stage1_512_sbrc,512,"[8, 4, 2, 2, 2, 2]",128,16,124.895218
d2z,N=262144_Stage1_512_sbrc,512,"[8, 4, 2, 2, 2, 2]",128,32,123.616986
d2z,N=262144_Stage1_512_sbrc,512,"[8, 4, 2, 2, 2, 2]",128,64,123.288956
d2z,N=262144_Stage1_512_sbrc,512,"[8, 4, 2, 2, 2, 2]",128,128,124.618095
d2z,N=262144_Stage1_512_sbrc,512,"[8, 4, 2, 2, 2, 2]",256,32,123.660691
d2z,N=262144_Stage1_512_sbrc,512,"[8, 4, 2, 2, 2, 2]",256,64,123.371287
d2z,N=262144_Stage1_512_sbrc,512,"[8, 4, 2, 2, 2, 2]",256,128,122.964201
d2z,N=262144_Stage1_512_sbrc,512,"[8, 4, 2, 2, 2, 2]",256,256,124.668563
d2z,N=262144_Stage1_512_sbrc,512,"[8, 4, 2, 2, 2, 2]",512,64,123.356809
d2z,N=262144_Stage1_512_sbrc,512,"[8, 4, 2, 2, 2, 2]",512,128,123.447626
d2z,N=262144_Stage1_512_sbrc,512,"[8, 4, 2, 2, 2, 2]",512,256,123.472305
d2z,N=262144_Stage1_512_sbrc,512,"[8, 4, 2, 2, 2, 2]",512,512,126.011006
d2z,N=262144_Stage1_512_sbrc,512,"[8, 4, 2, 2, 2, 2]",1024,128,123.476088
d2z,N=262144_Stage1_512_sbrc,512,"[8, 4, 2, 2, 2, 2]",1024,256,124.816847
d2z,N=262144_Stage1_512_sbrc,512,"[8, 4, 2, 2, 2, 2]",1024,512,126.376504
d2z,N=262144_Stage1_512_sbrc,512,"[4, 4, 4, 2, 2, 2]",64,16,124.532407
d2z,N=262144_Stage1_512_sbrc,512,"[4, 4, 4, 2, 2, 2]",64,32,123.105337
d2z,N=262144_Stage1_512_sbrc,512,"[4, 4, 4, 2, 2, 2]",64,64,124.117315
d2z,N=262144_Stage1_512_sbrc,512,"[4, 4, 4, 2, 2, 2]",128,16,124.542729
d2z,N=262144_Stage1_512_sbrc,512,"[4, 4, 4, 2, 2, 2]",128,32,123.167918
d2z,N=262144_Stage1_512_sbrc,512,"[4, 4, 4, 2, 2, 2]",128,64,123.184773
d2z,N=262144_Stage1_512_sbrc,512,"[4, 4, 4, 2, 2, 2]",128,128,124.464844
d2z,N=262144_Stage1_512_sbrc,512,"[4, 4, 4, 2, 2, 2]",256,32,123.139711
d2z,N=262144_Stage1_512_sbrc,512,"[4, 4, 4, 2, 2, 2]",256,64,123.02372
d2z,N=262144_Stage1_512_sbrc,512,"[4, 4, 4, 2, 2, 2]",256,128,122.949686
d2z,N=262144_Stage1_512_sbrc,512,"[4, 4, 4, 2, 2, 2]",256,256,124.535443
d2z,N=262144_Stage1_512_sbrc,512,"[4, 4, 4, 2, 2, 2]",512,64,122.965688
d2z,N=262144_Stage1_512_sbrc,512,"[4, 4, 4, 2, 2, 2]",512,128,122.987303
d2z,N=262144_Stage1_512_sbrc,512,"[4, 4, 4, 2, 2, 2]",512,256,123.186089
d2z,N=262144_Stage1_512_sbrc,512,"[4, 4, 4, 2, 2, 2]",512,512,126.205218
d2z,N=262144_Stage1_512_sbrc,512,"[4, 4, 4, 2, 2, 2]",1024,128,122.95706
d2z,N=262144_Stage1_512_sbrc,512,"[4, 4, 4, 2, 2, 2]",1024,256,123.524808
d2z,N=262144_Stage1_512_sbrc,512,"[4, 4, 4, 2, 2, 2]",1024,512,125.658948
d2z,N=262144_Stage1_512_sbrc,512,"[8, 4, 4, 2, 2]",64,16,124.441486
d2z,N=262144_Stage1_512_sbrc,512,"[8, 4, 4, 2, 2]",64,32,123.065546
d2z,N=262144_Stage1_512_sbrc,512,"[8, 4, 4, 2, 2]",64,64,124.183339
d2z,N=262144_Stage1_512_sbrc,512,"[8, 4, 4, 2, 2]",128,16,124.484005
d2z,N=262144_Stage1_512_sbrc,512,"[8, 4, 4, 2, 2]",128,32,123.351989
d2z,N=262144_Stage1_512_sbrc,512,"[8, 4, 4, 2, 2]",128,64,123.129017
d2z,N=262144_Stage1_512_sbrc,512,"[8, 4, 4, 2, 2]",128,128,124.449791
d2z,N=262144_Stage1_512_sbrc,512,"[8, 4, 4, 2, 2]",256,32,123.349633
d2z,N=262144_Stage1_512_sbrc,512,"[8, 4, 4, 2, 2]",256,64,123.052806
d2z,N=262144_Stage1_512_sbrc,512,"[8, 4, 4, 2, 2]",256,128,122.908541
d2z,N=262144_Stage1_512_sbrc,512,"[8, 4, 4, 2, 2]",256,256,124.350994
d2z,N=262144_Stage1_512_sbrc,512,"[8, 4, 4, 2, 2]",512,64,123.068399
d2z,N=262144_Stage1_512_sbrc,512,"[8, 4, 4, 2, 2]",512,128,123.224362
d2z,N=262144_Stage1_512_sbrc,512,"[8, 4, 4, 2, 2]",512,256,123.163721
d2z,N=262144_Stage1_512_sbrc,512,"[8, 4, 4, 2, 2]",512,512,125.900253
d2z,N=262144_Stage1_512_sbrc,512,"[8, 4, 4, 2, 2]",1024,128,123.182749
d2z,N=262144_Stage1_512_sbrc,512,"[8, 4, 4, 2, 2]",1024,256,123.502207
d2z,N=262144_Stage1_512_sbrc,512,"[8, 4, 4, 2, 2]",1024,512,126.235972
d2z,N=262144_Stage1_512_sbrc,512,"[4, 2, 2, 2, 2, 2, 2, 2]",64,16,184.433023
d2z,N=262144_Stage1_512_sbrc,512,"[4, 2, 2, 2, 2, 2, 2, 2]",64,32,123.511419
d2z,N=262144_Stage1_512_sbrc,512,"[4, 2, 2, 2, 2, 2, 2, 2]",64,64,124.228984
d2z,N=262144_Stage1_512_sbrc,512,"[4, 2, 2, 2, 2, 2, 2, 2]",128,16,184.389854
d2z,N=262144_Stage1_512_sbrc,512,"[4, 2, 2, 2, 2, 2, 2, 2]",128,32,123.793873
d2z,N=262144_Stage1_512_sbrc,512,"[4, 2, 2, 2, 2, 2, 2, 2]",128,64,123.542309
d2z,N=262144_Stage1_512_sbrc,512,"[4, 2, 2, 2, 2, 2, 2, 2]",128,128,124.441953
d2z,N=262144_Stage1_512_sbrc,512,"[4, 2, 2, 2, 2, 2, 2, 2]",256,32,123.801437
d2z,N=262144_Stage1_512_sbrc,512,"[4, 2, 2, 2, 2, 2, 2, 2]",256,64,123.365768
d2z,N=262144_Stage1_512_sbrc,512,"[4, 2, 2, 2, 2, 2, 2, 2]",256,128,123.133974
d2z,N=262144_Stage1_512_sbrc,512,"[4, 2, 2, 2, 2, 2, 2, 2]",256,256,124.284255
d2z,N=262144_Stage1_512_sbrc,512,"[4, 2, 2, 2, 2, 2, 2, 2]",512,64,123.30484
d2z,N=262144_Stage1_512_sbrc,512,"[4, 2, 2, 2, 2, 2, 2, 2]",512,128,123.143229
d2z,N=262144_Stage1_512_sbrc,512,"[4, 2, 2, 2, 2, 2, 2, 2]",512,256,123.170282
d2z,N=262144_Stage1_512_sbrc,512,"[4, 2, 2, 2, 2, 2, 2, 2]",512,512,126.113287
d2z,N=262144_Stage1_512_sbrc,512,"[4, 2, 2, 2, 2, 2, 2, 2]",1024,128,123.100897
d2z,N=262144_Stage1_512_sbrc,512,"[4, 2, 2, 2, 2, 2, 2, 2]",1024,256,123.526455
d2z,N=262144_Stage1_512_sbrc,512,"[4, 2, 2, 2, 2, 2, 2, 2]",1024,512,125.593035
d2z,N=262144_Stage1_512_sbrc,512,"[16, 8, 4]",64,16,123.505741
d2z,N=262144_Stage1_512_sbrc,512,"[16, 8, 4]",64,32,122.772993
d2z,N=262144_Stage1_512_sbrc,512,"[16, 8, 4]",64,64,126.391769
d2z,N=262144_Stage1_512_sbrc,512,"[16, 8, 4]",128,16,123.57319
d2z,N=262144_Stage1_512_sbrc,512,"[16, 8, 4]",128,32,122.957892
d2z,N=262144_Stage1_512_sbrc,512,"[16, 8, 4]",128,64,122.807142
d2z,N=262144_Stage1_512_sbrc,512,"[16, 8, 4]",128,128,124.415717
d2z,N=262144_Stage1_512_sbrc,512,"[16, 8, 4]",256,32,122.982572
d2z,N=262144_Stage1_512_sbrc,512,"[16, 8, 4]",256,64,122.833282
d2z,N=262144_Stage1_512_sbrc,512,"[16, 8, 4]",256,128,122.824427
d2z,N=262144_Stage1_512_sbrc,512,"[16, 8, 4]",256,256,124.839123
d2z,N=262144_Stage1_512_sbrc,512,"[16, 8, 4]",512,64,122.856352
d2z,N=262144_Stage1_512_sbrc,512,"[16, 8, 4]",512,128,122.931525
d2z,N=262144_Stage1_512_sbrc,512,"[16, 8, 4]",512,256,123.68438
d2z,N=262144_Stage1_512_sbrc,512,"[16, 8, 4]",512,512,127.362391
d2z,N=262144_Stage1_512_sbrc,512,"[16, 8, 4]",1024,128,122.821467
d2z,N=262144_Stage1_512_sbrc,512,"[16, 8, 4]",1024,256,142.763281
d2z,N=262144_Stage1_512_sbrc,512,"[16, 8, 4]",1024,512,160.185373
d2z,N=262144_Stage1_512_sbrc,512,"[8, 8, 8]",64,16,123.499066
d2z,N=262144_Stage1_512_sbrc,512,"[8, 8, 8]",64,32,122.788366
d2z,N=262144_Stage1_512_sbrc,512,"[8, 8, 8]",64,64,124.458765
d2z,N=262144_Stage1_512_sbrc,512,"[8, 8, 8]",128,16,123.517736
d2z,N=262144_Stage1_512_sbrc,512,"[8, 8, 8]",128,32,122.802217
d2z,N=262144_Stage1_512_sbrc,512,"[8, 8, 8]",128,64,123.051517
d2z,N=262144_Stage1_512_sbrc,512,"[8, 8, 8]",128,128,124.536409
d2z,N=262144_Stage1_512_sbrc,512,"[8, 8, 8]",256,32,122.849413
d2z,N=262144_Stage1_512_sbrc,512,"[8, 8, 8]",256,64,122.72067
d2z,N=262144_Stage1_512_sbrc,512,"[8, 8, 8]",256,128,123.122869
d2z,N=262144_Stage1_512_sbrc,512,"[8, 8, 8]",256,256,124.958979
d2z,N=262144_Stage1_512_sbrc,512,"[8, 8, 8]",512,64,122.71062
d2z,N=262144_Stage1_512_sbrc,512,"[8, 8, 8]",512,128,123.401804
d2z,N=262144_Stage1_512_sbrc,512,"[8, 8, 8]",512,256,123.590967
d2z,N=262144_Stage1_512_sbrc,512,"[8, 8, 8]",512,512,126.989886
d2z,N=262144_Stage1_512_sbrc,512,"[8, 8, 8]",1024,128,123.403062
d2z,N=262144_Stage1_512_sbrc,512,"[8, 8, 8]",1024,256,124.160475
d2z,N=262144_Stage1_512_sbrc,512,"[8, 8, 8]",1024,512,127.375135
d2z,N=262144_Stage1_512_sbrc,512,"[8, 4, 4, 4]",64,16,124.023521
d2z,N=262144_Stage1_512_sbrc,512,"[8, 4, 4, 4]",64,32,122.840932
d2z,N=262144_Stage1_512_sbrc,512,"[8, 4, 4, 4]",64,64,124.256832
d2z,N=262144_Stage1_512_sbrc,512,"[8, 4, 4, 4]",128,16,124.052481
d2z,N=262144_Stage1_512_sbrc,512,"[8, 4, 4, 4]",128,32,123.110243
d2z,N=262144_Stage1_512_sbrc,512,"[8, 4, 4, 4]",128,64,122.931859
d2z,N=262144_Stage1_512_sbrc,512,"[8, 4, 4, 4]",128,128,124.24075
d2z,N=262144_Stage1_512_sbrc,512,"[8, 4, 4, 4]",256,32,123.145025
d2z,N=262144_Stage1_512_sbrc,512,"[8, 4, 4, 4]",256,64,122.921702
d2z,N=262144_Stage1_512_sbrc,512,"[8, 4, 4, 4]",256,128,122.833692
d2z,N=262144_Stage1_512_sbrc,512,"[8, 4, 4, 4]",256,256,124.163217
d2z,N=262144_Stage1_512_sbrc,512,"[8, 4, 4, 4]",512,64,122.86057
d2z,N=262144_Stage1_512_sbrc,512,"[8, 4, 4, 4]",512,128,123.016785
d2z,N=262144_Stage1_512_sbrc,512,"[8, 4, 4, 4]",512,256,123.201895
d2z,N=262144_Stage1_512_sbrc,512,"[8, 4, 4, 4]",512,512,125.486728
d2z,N=262144_Stage1_512_sbrc,512,"[8, 4, 4, 4]",1024,128,123.02606
d2z,N=262144_Stage1_512_sbrc,512,"[8, 4, 4, 4]",1024,256,123.454176
d2z,N=262144_Stage1_512_sbrc,512,"[8, 4, 4, 4]",1024,512,125.40615
d2z,N=262144_Stage1_512_sbrc,512,"[8, 8, 2, 2, 2]",64,16,124.381262
d2z,N=262144_Stage1_512_sbrc,512,"[8, 8, 2, 2, 2]",64,32,123.07367
d2z,N=262144_Stage1_512_sbrc,512,"[8, 8, 2, 2, 2]",64,64,124.302848
d2z,N=262144_Stage1_512_sbrc,512,"[8, 8, 2, 2, 2]",128,16,124.400309
d2z,N=262144_Stage1_512_sbrc,512,"[8, 8, 2, 2, 2]",128,32,123.310086
d2z,N=262144_Stage1_512_sbrc,512,"[8, 8, 2, 2, 2]",128,64,123.078359
d2z,N=262144_Stage1_512_sbrc,512,"[8, 8, 2, 2, 2]",128,128,124.798069
d2z,N=262144_Stage1_512_sbrc,512,"[8, 8, 2, 2, 2]",256,32,123.36641
d2z,N=262144_Stage1_512_sbrc,512,"[8, 8, 2, 2, 2]",256,64,123.329962
d2z,N=262144_Stage1_512_sbrc,512,"[8, 8, 2, 2, 2]",256,128,123.001916
d2z,N=262144_Stage1_512_sbrc,512,"[8, 8, 2, 2, 2]",256,256,124.719462
d2z,N=262144_Stage1_512_sbrc,512,"[8, 8, 2, 2, 2]",512,64,123.319146
d2z,N=262144_Stage1_512_sbrc,512,"[8, 8, 2, 2, 2]",512,128,123.845306
d2z,N=262144_Stage1_512_sbrc,512,"[8, 8, 2, 2, 2]",512,256,123.331588
d2z,N=262144_Stage1_512_sbrc,512,"[8, 8, 2, 2, 2]",512,512,127.095074
d2z,N=262144_Stage1_512_sbrc,512,"[8, 8, 2, 2, 2]",1024,128,123.802864
d2z,N=262144_Stage1_512_sbrc,512,"[8, 8, 2, 2, 2]",1024,256,124.19344
d2z,N=262144_Stage1_512_sbrc,512,"[8, 8, 2, 2, 2]",1024,512,128.044069
d2z,N=262144_Stage1_512_sbrc,512,"[16, 2, 2, 2, 2, 2]",64,16,124.994145
d2z,N=262144_Stage1_512_sbrc,512,"[16, 2, 2, 2, 2, 2]",64,32,123.294951
d2z,N=262144_Stage1_512_sbrc,512,"[16, 2, 2, 2, 2, 2]",64,64,124.255649
d2z,N=262144_Stage1_512_sbrc,512,"[16, 2, 2, 2, 2, 2]",128,16,124.980424
d2z,N=262144_Stage1_512_sbrc,512,"[16, 2, 2, 2, 2, 2]",128,32,123.636281
d2z,N=262144_Stage1_512_sbrc,512,"[16, 2, 2, 2, 2, 2]",128,64,123.311368
d2z,N=262144_Stage1_512_sbrc,512,"[16, 2, 2, 2, 2, 2]",128,128,124.845171
d2z,N=262144_Stage1_512_sbrc,512,"[16, 2, 2, 2, 2, 2]",256,32,123.615988
d2z,N=262144_Stage1_512_sbrc,512,"[16, 2, 2, 2, 2, 2]",256,64,123.765399
d2z,N=262144_Stage1_512_sbrc,512,"[16, 2, 2, 2, 2, 2]",256,128,123.170653
d2z,N=262144_Stage1_512_sbrc,512,"[16, 2, 2, 2, 2, 2]",256,256,124.453517
d2z,N=262144_Stage1_512_sbrc,512,"[16, 2, 2, 2, 2, 2]",512,64,123.784523
d2z,N=262144_Stage1_512_sbrc,512,"[16, 2, 2, 2, 2, 2]",512,128,123.804335
d2z,N=262144_Stage1_512_sbrc,512,"[16, 2, 2, 2, 2, 2]",512,256,123.739276
d2z,N=262144_Stage1_512_sbrc,512,"[16, 2, 2, 2, 2, 2]",512,512,126.833897
d2z,N=262144_Stage1_512_sbrc,512,"[16, 2, 2, 2, 2, 2]",1024,128,123.837529
d2z,N=262144_Stage1_512_sbrc,512,"[16, 2, 2, 2, 2, 2]",1024,256,130.789598
d2z,N=262144_Stage1_512_sbrc,512,"[16, 2, 2, 2, 2, 2]",1024,512,140.361725
d2z,N=262144_Stage1_512_sbrc,512,"[16, 16, 2]",64,16,123.502055
d2z,N=262144_Stage1_512_sbrc,512,"[16, 16, 2]",64,32,122.840603
d2z,N=262144_Stage1_512_sbrc,512,"[16, 16, 2]",64,64,125.117142
d2z,N=262144_Stage1_512_sbrc,512,"[16, 16, 2]",128,16,123.52847
d2z,N=262144_Stage1_512_sbrc,512,"[16, 16, 2]",128,32,123.084836
d2z,N=262144_Stage1_512_sbrc,512,"[16, 16, 2]",128,64,123.430562
d2z,N=262144_Stage1_512_sbrc,512,"[16, 16, 2]",128,128,124.954527
d2z,N=262144_Stage1_512_sbrc,512,"[16, 16, 2]",256,32,123.035558
d2z,N=262144_Stage1_512_sbrc,512,"[16, 16, 2]",256,64,124.138984
d2z,N=262144_Stage1_512_sbrc,512,"[16, 16, 2]",256,128,123.560539
d2z,N=262144_Stage1_512_sbrc,512,"[16, 16, 2]",256,256,124.874462
d2z,N=262144_Stage1_512_sbrc,512,"[16, 16, 2]",512,64,124.078789
