Stage,Length,Factors,WGS,TPT,Total_Time_ms
128K_d2z_z2d_256_sbrr,256,"[8, 8, 2, 2]",1024,64,496.4308830909091
128K_d2z_z2d_256_sbrr,256,"[4, 4, 2, 2, 2, 2]",256,256,496.5686559090909
128K_d2z_z2d_256_sbrr,256,"[8, 4, 4, 2]",512,32,496.91492927272725
128K_d2z_z2d_256_sbrr,256,"[8, 2, 2, 2, 2, 2]",256,256,497.0189771818182
128K_d2z_z2d_256_sbrr,256,"[16, 16]",256,16,497.1247459090909
128K_d2z_z2d_256_sbrr,256,"[2, 2, 2, 2, 2, 2, 2, 2]",1024,64,497.88487472727275
128K_d2z_z2d_256_sbrr,256,"[16, 4, 4]",128,32,498.2916279090909
128K_d2z_z2d_256_sbrr,256,"[16, 4, 2, 2]",256,32,498.3176185454546
128K_d2z_z2d_256_sbrr,256,"[8, 4, 4, 2]",1024,128,498.4043188181818
128K_d2z_z2d_256_sbrr,256,"[8, 8, 4]",256,128,499.1725763636364
128K_d2z_z2d_256_sbrr,256,"[16, 2, 2, 2, 2]",64,64,499.27211354545454
128K_d2z_z2d_256_sbrr,256,"[4, 4, 2, 2, 2, 2]",256,32,499.6014356363636
128K_d2z_z2d_256_sbrr,256,"[16, 8, 2]",256,32,499.8303897272727
128K_d2z_z2d_256_sbrr,256,"[4, 2, 2, 2, 2, 2, 2]",64,32,500.00690181818186
128K_d2z_z2d_256_sbrr,256,"[8, 4, 2, 2, 2]",1024,128,500.13739
128K_d2z_z2d_256_sbrr,256,"[8, 2, 2, 2, 2, 2]",128,32,500.33620609090906
128K_d2z_z2d_256_sbrr,256,"[8, 2, 2, 2, 2, 2]",256,32,501.046873
128K_d2z_z2d_256_sbrr,256,"[4, 4, 2, 2, 2, 2]",128,32,502.2076262727272
128K_d2z_z2d_256_sbrr,256,"[16, 4, 2, 2]",256,64,502.2303798181818
128K_d2z_z2d_256_sbrr,256,"[4, 4, 2, 2, 2, 2]",512,32,502.82248000000004
128K_d2z_z2d_256_sbrr,256,"[16, 16]",64,32,503.94566245454547
128K_d2z_z2d_256_sbrr,256,"[4, 2, 2, 2, 2, 2, 2]",1024,256,504.0997839090909
128K_d2z_z2d_256_sbrr,256,"[4, 4, 4, 2, 2]",512,256,504.4435959090909
128K_d2z_z2d_256_sbrr,256,"[4, 2, 2, 2, 2, 2, 2]",256,32,504.79636263636365
128K_d2z_z2d_256_sbrr,256,"[8, 2, 2, 2, 2, 2]",512,32,504.9581560909091
128K_d2z_z2d_256_sbrr,256,"[8, 4, 4, 2]",512,128,505.22680218181813
128K_d2z_z2d_256_sbrr,256,"[16, 4, 2, 2]",512,32,505.9361077272727
128K_d2z_z2d_256_sbrr,256,"[16, 4, 2, 2]",256,128,506.3595803636364
128K_d2z_z2d_256_sbrr,256,"[2, 2, 2, 2, 2, 2, 2, 2]",64,32,506.3840997272727
128K_d2z_z2d_256_sbrr,256,"[16, 2, 2, 2, 2]",128,64,506.4032854545454
128K_d2z_z2d_256_sbrr,256,"[16, 2, 2, 2, 2]",64,32,506.4113959090909
128K_d2z_z2d_256_sbrr,256,"[4, 4, 4, 4]",512,256,506.9203940909091
128K_d2z_z2d_256_sbrr,256,"[16, 8, 2]",128,32,507.8224686363636
128K_d2z_z2d_256_sbrr,256,"[16, 8, 2]",64,64,508.15329881818184
128K_d2z_z2d_256_sbrr,256,"[8, 8, 2, 2]",512,128,508.7221588181818
128K_d2z_z2d_256_sbrr,256,"[2, 2, 2, 2, 2, 2, 2, 2]",1024,256,510.64860863636363
128K_d2z_z2d_256_sbrr,256,"[16, 8, 2]",512,32,510.97875427272726
128K_d2z_z2d_256_sbrr,256,"[16, 4, 2, 2]",128,32,511.729590090909
128K_d2z_z2d_256_sbrr,256,"[4, 2, 2, 2, 2, 2, 2]",128,32,511.87316481818175
128K_d2z_z2d_256_sbrr,256,"[16, 4, 4]",512,32,511.9845251818182
128K_d2z_z2d_256_sbrr,256,"[16, 8, 2]",128,64,512.4714003636363
128K_d2z_z2d_256_sbrr,256,"[8, 4, 2, 2, 2]",256,256,513.0721371818181
128K_d2z_z2d_256_sbrr,256,"[16, 2, 2, 2, 2]",256,32,513.092685
128K_d2z_z2d_256_sbrr,256,"[8, 8, 4]",512,128,513.6490902727273
128K_d2z_z2d_256_sbrr,256,"[4, 2, 2, 2, 2, 2, 2]",512,32,514.7990304545455
128K_d2z_z2d_256_sbrr,256,"[16, 2, 2, 2, 2]",128,128,515.0969731818182
128K_d2z_z2d_256_sbrr,256,"[16, 2, 2, 2, 2]",128,32,515.2899811818182
128K_d2z_z2d_256_sbrr,256,"[16, 16]",256,32,515.487578
128K_d2z_z2d_256_sbrr,256,"[16, 16]",128,32,515.7168293636364
128K_d2z_z2d_256_sbrr,256,"[8, 8, 4]",128,16,515.8938846363636
128K_d2z_z2d_256_sbrr,256,"[16, 4, 2, 2]",512,64,516.335424
128K_d2z_z2d_256_sbrr,256,"[8, 8, 2, 2]",1024,128,516.5680957272727
128K_d2z_z2d_256_sbrr,256,"[16, 2, 2, 2, 2]",256,128,517.5395771818181
128K_d2z_z2d_256_sbrr,256,"[16, 4, 4]",256,64,519.289313
128K_d2z_z2d_256_sbrr,256,"[16, 4, 4]",64,16,519.3920857272727
128K_d2z_z2d_256_sbrr,256,"[8, 8, 4]",256,16,519.7766698181817
128K_d2z_z2d_256_sbrr,256,"[8, 4, 4, 2]",256,256,520.8289850909091
128K_d2z_z2d_256_sbrr,256,"[16, 8, 2]",64,16,520.8751017272727
128K_d2z_z2d_256_sbrr,256,"[16, 4, 4]",512,64,521.1305614545454
128K_d2z_z2d_256_sbrr,256,"[8, 2, 2, 2, 2, 2]",512,256,521.8175181818182
128K_d2z_z2d_256_sbrr,256,"[8, 8, 4]",64,16,522.0190596363636
128K_d2z_z2d_256_sbrr,256,"[4, 2, 2, 2, 2, 2, 2]",512,512,522.4228096363636
128K_d2z_z2d_256_sbrr,256,"[16, 4, 4]",128,16,522.7168016363637
128K_d2z_z2d_256_sbrr,256,"[16, 4, 2, 2]",128,128,523.946063
128K_d2z_z2d_256_sbrr,256,"[2, 2, 2, 2, 2, 2, 2, 2]",256,32,524.2221696363637
128K_d2z_z2d_256_sbrr,256,"[16, 4, 4]",256,16,524.5312020909091
128K_d2z_z2d_256_sbrr,256,"[8, 8, 4]",1024,128,524.7606161818182
128K_d2z_z2d_256_sbrr,256,"[16, 8, 2]",128,16,525.0762614545455
128K_d2z_z2d_256_sbrr,256,"[2, 2, 2, 2, 2, 2, 2, 2]",128,32,525.1822508181818
128K_d2z_z2d_256_sbrr,256,"[16, 4, 4]",128,128,525.8820755454545
128K_d2z_z2d_256_sbrr,256,"[2, 2, 2, 2, 2, 2, 2, 2]",512,512,525.9323079090909
128K_d2z_z2d_256_sbrr,256,"[2, 2, 2, 2, 2, 2, 2, 2]",512,32,527.347670909091
128K_d2z_z2d_256_sbrr,256,"[16, 2, 2, 2, 2]",512,32,527.5762357272727
128K_d2z_z2d_256_sbrr,256,"[16, 2, 2, 2, 2]",256,64,527.8425472727272
128K_d2z_z2d_256_sbrr,256,"[16, 16]",512,32,528.1669366363636
128K_d2z_z2d_256_sbrr,256,"[16, 8, 2]",256,16,528.2200780000001
128K_d2z_z2d_256_sbrr,256,"[4, 4, 4, 2, 2]",512,512,529.990694909091
128K_d2z_z2d_256_sbrr,256,"[4, 2, 2, 2, 2, 2, 2]",1024,512,531.6019913636363
128K_d2z_z2d_256_sbrr,256,"[8, 4, 2, 2, 2]",512,256,531.7560866363636
