Stage,Length,Factors,WGS,TPT,GPU_Time_ms
Stage2_128,128,"[2, 2, 2, 2, 2, 2, 2]",512,16,6.917773
Stage2_128,128,"[2, 2, 2, 2, 2, 2, 2]",256,16,6.919012
Stage2_128,128,"[8, 4, 4]",256,64,7.084257
Stage2_128,128,"[2, 2, 2, 2, 2, 2, 2]",512,128,7.150175
Stage2_128,128,"[16, 8]",128,32,7.154626
Stage2_128,128,"[8, 4, 4]",512,64,7.160359
Stage2_128,128,"[16, 8]",256,32,7.273184
Stage2_128,128,"[4, 2, 2, 2, 2, 2]",512,128,7.296427
Stage2_128,128,"[16, 2, 2, 2]",128,64,7.296836
Stage2_128,128,"[8, 8, 2]",128,64,7.334642
Stage2_128,128,"[16, 8]",64,32,7.39593
Stage2_128,128,"[8, 4, 4]",128,64,7.431713
Stage2_128,128,"[2, 2, 2, 2, 2, 2, 2]",1024,128,7.451941
Stage2_128,128,"[4, 2, 2, 2, 2, 2]",1024,128,7.452541
Stage2_128,128,"[2, 2, 2, 2, 2, 2, 2]",256,128,7.457614
Stage2_128,128,"[4, 2, 2, 2, 2, 2]",256,128,7.511261
Stage2_128,128,"[16, 8]",512,32,7.559666
Stage2_128,128,"[16, 8]",1024,32,7.561688
Stage2_128,128,"[8, 4, 4]",1024,64,7.667707
Stage2_128,128,"[4, 4, 2, 2, 2]",512,128,7.754351
Stage2_128,128,"[16, 2, 2, 2]",512,64,7.803049
Stage2_128,128,"[16, 2, 2, 2]",1024,64,7.956863
Stage2_128,128,"[4, 4, 2, 2, 2]",1024,128,8.031041
Stage2_128,128,"[4, 4, 2, 2, 2]",256,128,8.044543
Stage2_128,128,"[4, 4, 4, 2]",512,128,8.260235
Stage2_128,128,"[16, 4, 2]",256,64,8.315285
Stage2_128,128,"[4, 4, 4, 2]",256,128,8.495864
Stage2_128,128,"[4, 4, 4, 2]",1024,128,8.566553
Stage2_128,128,"[8, 2, 2, 2, 2]",256,128,8.705427
Stage2_128,128,"[16, 4, 2]",128,64,8.720863
Stage2_128,128,"[8, 2, 2, 2, 2]",512,128,8.760334
Stage2_128,128,"[8, 4, 4]",64,64,8.771405
Stage2_128,128,"[16, 4, 2]",512,64,8.96919
Stage2_128,128,"[8, 4, 2, 2]",64,64,9.087101
Stage1_256,256,"[8, 8, 4]",512,32,9.167947
Stage1_256,256,"[8, 8, 4]",256,32,9.170215
Stage2_128,128,"[8, 2, 2, 2, 2]",64,64,9.172615
Stage1_256,256,"[4, 4, 4, 4]",256,64,9.20828
Stage1_256,256,"[8, 4, 4, 2]",256,64,9.224497
Stage2_128,128,"[4, 2, 2, 2, 2, 2]",64,64,9.242599
Stage1_256,256,"[8, 4, 2, 2, 2]",256,64,9.2598
Stage1_256,256,"[4, 2, 2, 2, 2, 2, 2]",256,64,9.264701
Stage1_256,256,"[4, 4, 2, 2, 2, 2]",256,64,9.26636
Stage1_256,256,"[8, 4, 4, 2]",512,64,9.288631
Stage1_256,256,"[8, 4, 4, 2]",1024,64,9.292802
Stage1_256,256,"[8, 8, 2, 2]",512,32,9.297718
Stage1_256,256,"[8, 8, 2, 2]",256,32,9.299655
Stage1_256,256,"[4, 2, 2, 2, 2, 2, 2]",512,128,9.300189
Stage1_256,256,"[4, 4, 4, 2, 2]",256,64,9.312933
Stage1_256,256,"[4, 4, 4, 4]",512,32,9.313601
Stage1_256,256,"[4, 4, 4, 4]",256,32,9.314824
Stage1_256,256,"[8, 4, 4, 2]",256,32,9.3157
Stage1_256,256,"[8, 4, 4, 2]",512,32,9.317487
Stage1_256,256,"[8, 4, 2, 2, 2]",1024,64,9.320406
Stage1_256,256,"[8, 4, 2, 2, 2]",512,64,9.322926
Stage1_256,256,"[8, 8, 4]",128,32,9.326213
Stage1_256,256,"[4, 4, 4, 4]",1024,64,9.33039
Stage1_256,256,"[4, 4, 4, 4]",512,64,9.331987
Stage1_256,256,"[4, 4, 4, 2, 2]",512,32,9.353804
Stage2_128,128,"[4, 4, 2, 2, 2]",64,64,9.356362
Stage1_256,256,"[8, 2, 2, 2, 2, 2]",256,64,9.359299
Stage1_256,256,"[4, 4, 4, 2, 2]",256,32,9.360292
Stage2_128,128,"[8, 2, 2, 2, 2]",1024,128,9.361036
Stage2_128,128,"[8, 8, 2]",64,64,9.379375
Stage1_256,256,"[8, 4, 2, 2, 2]",512,32,9.389716
Stage1_256,256,"[8, 8, 2, 2]",128,32,9.391663
Stage1_256,256,"[8, 4, 2, 2, 2]",256,32,9.3918
Stage1_256,256,"[16, 16]",64,16,9.394718
Stage1_256,256,"[16, 4, 4]",128,32,9.398109
Stage1_256,256,"[2, 2, 2, 2, 2, 2, 2, 2]",256,64,9.400906
Stage2_128,128,"[16, 4, 2]",64,64,9.406722
Stage1_256,256,"[16, 4, 2, 2]",128,32,9.410323
Stage1_256,256,"[2, 2, 2, 2, 2, 2, 2, 2]",512,128,9.410749
Stage1_256,256,"[4, 4, 4, 2, 2]",1024,64,9.41891
Stage1_256,256,"[4, 4, 4, 2, 2]",512,64,9.420698
Stage2_128,128,"[2, 2, 2, 2, 2, 2, 2]",64,64,9.424755
Stage1_256,256,"[8, 2, 2, 2, 2, 2]",512,32,9.432011
Stage1_256,256,"[8, 2, 2, 2, 2, 2]",256,32,9.434587
Stage1_256,256,"[8, 2, 2, 2, 2, 2]",1024,64,9.434818
Stage1_256,256,"[16, 8, 2]",64,16,9.435941
Stage1_256,256,"[8, 2, 2, 2, 2, 2]",512,64,9.436769
Stage1_256,256,"[8, 8, 4]",1024,64,9.443882
Stage1_256,256,"[8, 4, 4, 2]",128,32,9.444054
Stage2_128,128,"[8, 4, 2, 2]",512,128,9.446947
Stage1_256,256,"[8, 8, 4]",512,64,9.451402
Stage1_256,256,"[16, 4, 4]",512,32,9.452844
Stage1_256,256,"[16, 4, 4]",256,32,9.453005
Stage1_256,256,"[16, 4, 4]",64,16,9.456333
Stage1_256,256,"[16, 8, 2]",128,32,9.459109
Stage1_256,256,"[4, 4, 4, 4]",128,32,9.472141
Stage1_256,256,"[8, 8, 4]",64,16,9.477557
Stage1_256,256,"[16, 8, 2]",512,32,9.483937
Stage1_256,256,"[16, 8, 2]",256,32,9.487895
Stage1_256,256,"[4, 4, 2, 2, 2, 2]",256,32,9.489527
Stage1_256,256,"[16, 4, 2, 2]",64,32,9.489613
Stage1_256,256,"[4, 4, 2, 2, 2, 2]",512,32,9.48975
Stage2_128,128,"[4, 2, 2, 2, 2, 2]",128,128,9.491478
Stage2_128,128,"[16, 2, 2, 2]",64,64,9.499461
Stage1_256,256,"[8, 8, 2, 2]",512,64,9.501334
Stage1_256,256,"[8, 8, 2, 2]",1024,64,9.501351
Stage1_256,256,"[8, 4, 2, 2, 2]",128,32,9.512407
Stage1_256,256,"[4, 2, 2, 2, 2, 2, 2]",512,64,9.515995
Stage1_256,256,"[4, 4, 2, 2, 2, 2]",1024,64,9.516012
Stage1_256,256,"[4, 2, 2, 2, 2, 2, 2]",1024,64,9.516619
Stage1_256,256,"[4, 4, 2, 2, 2, 2]",512,64,9.517525
Stage1_256,256,"[16, 16]",128,32,9.518106
Stage1_256,256,"[4, 2, 2, 2, 2, 2, 2]",256,128,9.534074
Stage1_256,256,"[4, 2, 2, 2, 2, 2, 2]",1024,128,9.539108
Stage1_256,256,"[16, 4, 2, 2]",512,32,9.542364
Stage1_256,256,"[8, 8, 4]",256,64,9.544037
Stage1_256,256,"[8, 8, 2, 2]",64,32,9.544752
Stage1_256,256,"[16, 4, 2, 2]",256,32,9.544807
Stage1_256,256,"[2, 2, 2, 2, 2, 2, 2, 2]",1024,128,9.550207
Stage1_256,256,"[2, 2, 2, 2, 2, 2, 2, 2]",256,128,9.551097
Stage1_256,256,"[8, 4, 2, 2, 2]",128,64,9.551345
Stage1_256,256,"[8, 8, 4]",64,32,9.559211
Stage1_256,256,"[4, 4, 2, 2, 2, 2]",512,128,9.561277
Stage1_256,256,"[16, 4, 2, 2]",64,16,9.56362
Stage1_256,256,"[8, 8, 2, 2]",64,16,9.564693
Stage1_256,256,"[8, 2, 2, 2, 2, 2]",128,32,9.566133
Stage1_256,256,"[8, 4, 4, 2]",128,64,9.567357
Stage1_256,256,"[8, 2, 2, 2, 2, 2]",64,32,9.569072
Stage1_256,256,"[16, 2, 2, 2, 2]",64,32,9.575939
Stage1_256,256,"[4, 4, 4, 2, 2]",128,32,9.576592
Stage1_256,256,"[4, 2, 2, 2, 2, 2, 2]",512,32,9.580312
Stage1_256,256,"[4, 2, 2, 2, 2, 2, 2]",256,32,9.58133
Stage1_256,256,"[4, 4, 4, 4]",64,32,9.581708
Stage1_256,256,"[8, 2, 2, 2, 2, 2]",128,64,9.592981
Stage1_256,256,"[8, 4, 4, 2]",64,16,9.599483
Stage1_256,256,"[8, 4, 4, 2]",64,32,9.603364
Stage1_256,256,"[2, 2, 2, 2, 2, 2, 2, 2]",1024,64,9.604722
Stage1_256,256,"[2, 2, 2, 2, 2, 2, 2, 2]",512,64,9.608099
Stage1_256,256,"[8, 8, 2, 2]",256,64,9.608344
Stage1_256,256,"[4, 4, 4, 4]",64,16,9.609489
Stage1_256,256,"[16, 2, 2, 2, 2]",128,32,9.61127
Stage1_256,256,"[8, 4, 2, 2, 2]",64,32,9.631559
Stage1_256,256,"[4, 4, 2, 2, 2, 2]",1024,128,9.632101
Stage1_256,256,"[4, 2, 2, 2, 2, 2, 2]",64,32,9.632303
Stage1_256,256,"[4, 4, 2, 2, 2, 2]",128,32,9.63679
Stage1_256,256,"[16, 4, 4]",64,32,9.637116
Stage1_256,256,"[16, 2, 2, 2, 2]",512,32,9.63819
Stage1_256,256,"[16, 2, 2, 2, 2]",256,32,9.641316
Stage2_128,128,"[4, 4, 4, 2]",64,64,9.643403
Stage1_256,256,"[16, 8, 2]",64,32,9.644212
Stage1_256,256,"[8, 8, 4]",128,64,9.649101
Stage1_256,256,"[4, 4, 4, 2, 2]",64,32,9.65738
Stage1_256,256,"[4, 4, 4, 2, 2]",512,128,9.676589
Stage1_256,256,"[16, 2, 2, 2, 2]",64,16,9.681205
Stage1_256,256,"[4, 4, 4, 4]",128,64,9.686567
Stage1_256,256,"[8, 8, 2, 2]",128,64,9.693081
Stage1_256,256,"[8, 4, 2, 2, 2]",64,16,9.696897
Stage1_256,256,"[4, 4, 2, 2, 2, 2]",64,32,9.697808
Stage1_256,256,"[4, 2, 2, 2, 2, 2, 2]",128,32,9.703381
