Stage,Length,Factors,WGS,TPT,GPU_Time_ms
N=524288_Stage1_4096_sbrr,4096,"[16, 4, 4, 4, 4]",1024,1024,65.266843
N=524288_Stage2_64_sbcc,64,"[4, 2, 2, 2, 2]",256,64,65.926949
N=524288_Stage2_64_sbcc,64,"[4, 4, 4]",64,32,66.007093
N=524288_Stage2_64_sbcc,64,"[2, 2, 2, 2, 2, 2]",256,64,66.142755
N=524288_Stage2_64_sbcc,64,"[16, 2, 2]",512,32,66.880269
N=524288_Stage2_64_sbcc,64,"[16, 2, 2]",128,32,69.317901
N=524288_Stage2_64_sbcc,64,"[4, 2, 2, 2, 2]",128,64,69.974912
N=524288_Stage2_64_sbcc,64,"[4, 4, 2, 2]",256,64,70.256537
N=524288_Stage2_64_sbcc,64,"[4, 2, 2, 2, 2]",512,64,70.264811
N=524288_Stage2_64_sbcc,64,"[2, 2, 2, 2, 2, 2]",512,64,70.278167
N=524288_Stage1_4096_sbrr,4096,"[16, 4, 4, 4, 2, 2]",1024,1024,70.431634
N=524288_Stage2_64_sbcc,64,"[4, 4, 2, 2]",512,64,70.700085
N=524288_Stage2_64_sbcc,64,"[16, 2, 2]",256,32,71.091398
N=524288_Stage1_4096_sbrr,4096,"[16, 4, 4, 2, 2, 2, 2]",1024,1024,71.459263
N=524288_Stage2_64_sbcc,64,"[2, 2, 2, 2, 2, 2]",128,64,72.300247
N=524288_Stage1_4096_sbrr,4096,"[16, 4, 2, 2, 2, 2, 2, 2]",1024,1024,72.57706
N=524288_Stage2_64_sbcc,64,"[4, 2, 2, 2, 2]",1024,64,72.622477
N=524288_Stage2_64_sbcc,64,"[8, 2, 2, 2]",512,64,73.250517
N=524288_Stage2_64_sbcc,64,"[8, 2, 2, 2]",256,64,73.435577
N=524288_Stage2_64_sbcc,64,"[2, 2, 2, 2, 2, 2]",1024,64,73.635847
N=524288_Stage2_64_sbcc,64,"[4, 4, 2, 2]",128,64,74.677375
N=524288_Stage2_64_sbcc,64,"[4, 4, 2, 2]",1024,64,75.811977
N=524288_Stage2_64_sbcc,64,"[16, 4]",256,32,76.789371
N=524288_Stage2_64_sbcc,64,"[8, 2, 2, 2]",128,64,76.909711
N=524288_Stage2_64_sbcc,64,"[8, 2, 2, 2]",1024,64,77.529097
N=524288_Stage1_4096_sbrr,4096,"[16, 8, 4, 4, 2]",1024,1024,77.847217
N=524288_Stage2_64_sbcc,64,"[8, 8]",256,32,77.861545
N=524288_Stage1_4096_sbrr,4096,"[16, 8, 4, 2, 2, 2]",1024,1024,78.181337
N=524288_Stage2_64_sbcc,64,"[8, 4, 2]",512,64,78.191387
N=524288_Stage1_4096_sbrr,4096,"[16, 8, 2, 2, 2, 2, 2]",1024,1024,78.336451
N=524288_Stage2_64_sbcc,64,"[8, 8]",128,32,78.447644
N=524288_Stage2_64_sbcc,64,"[8, 4, 2]",256,64,78.730009
N=524288_Stage2_64_sbcc,64,"[16, 4]",128,32,79.409834
N=524288_Stage2_64_sbcc,64,"[16, 2, 2]",64,32,79.678311
N=524288_Stage1_4096_sbrr,4096,"[16, 8, 8, 2, 2]",1024,1024,79.755422
N=524288_Stage2_64_sbcc,64,"[16, 4]",512,32,80.008816
N=524288_Stage2_64_sbcc,64,"[8, 8]",512,32,80.264306
N=524288_Stage2_64_sbcc,64,"[8, 8]",64,32,80.447526
N=524288_Stage2_64_sbcc,64,"[8, 4, 2]",128,64,81.013177
N=524288_Stage2_64_sbcc,64,"[16, 2, 2]",1024,32,82.044994
N=524288_Stage2_64_sbcc,64,"[8, 8]",1024,32,82.392268
N=524288_Stage2_64_sbcc,64,"[4, 4, 4]",256,64,82.492855
N=524288_Stage2_64_sbcc,64,"[16, 4]",64,32,83.632836
N=524288_Stage2_64_sbcc,64,"[8, 4, 2]",1024,64,84.178031
N=524288_Stage2_64_sbcc,64,"[4, 4, 4]",512,64,84.500002
N=524288_Stage2_64_sbcc,64,"[4, 4, 4]",128,64,85.484483
N=524288_Stage2_64_sbcc,64,"[4, 2, 2, 2, 2]",64,64,85.932123
N=524288_Stage2_64_sbcc,64,"[8, 2, 2, 2]",64,64,87.051574
N=524288_Stage2_64_sbcc,64,"[4, 4, 2, 2]",64,64,87.4128
N=524288_Stage2_64_sbcc,64,"[8, 4, 2]",64,64,87.898193
N=524288_Stage2_64_sbcc,64,"[4, 4, 4]",1024,64,88.300453
N=524288_Stage2_64_sbcc,64,"[4, 2, 2, 2, 2]",128,128,89.112039
N=524288_Stage2_64_sbcc,64,"[2, 2, 2, 2, 2, 2]",64,64,89.356057
N=524288_Stage2_64_sbcc,64,"[2, 2, 2, 2, 2, 2]",128,128,92.910163
N=524288_Stage2_64_sbcc,64,"[4, 4, 4]",64,64,93.617754
N=524288_Stage2_64_sbcc,64,"[4, 4, 2, 2]",128,128,94.163098
N=524288_Stage2_64_sbcc,64,"[4, 2, 2, 2, 2]",256,128,98.274391
N=524288_Stage2_64_sbcc,64,"[2, 2, 2, 2, 2, 2]",256,128,100.300073
N=524288_Stage1_4096_sbrr,4096,"[16, 8, 8, 4]",1024,1024,102.52855
N=524288_Stage2_64_sbcc,64,"[4, 2, 2, 2, 2]",512,128,104.043613
N=524288_Stage2_64_sbcc,64,"[2, 2, 2, 2, 2, 2]",512,128,106.317466
N=524288_Stage2_64_sbcc,64,"[8, 4, 2]",128,128,106.655271
N=524288_Stage2_64_sbcc,64,"[16, 2, 2]",256,64,107.237331
N=524288_Stage2_64_sbcc,64,"[4, 4, 4]",128,128,107.680426
N=524288_Stage2_64_sbcc,64,"[4, 4, 2, 2]",512,128,108.184663
N=524288_Stage2_64_sbcc,64,"[4, 4, 2, 2]",256,128,109.274308
N=524288_Stage2_64_sbcc,64,"[16, 2, 2]",512,64,110.126058
N=524288_Stage2_64_sbcc,64,"[8, 2, 2, 2]",128,128,110.139045
N=524288_Stage2_64_sbcc,64,"[2, 2, 2, 2, 2, 2]",1024,128,110.99122
N=524288_Stage2_64_sbcc,64,"[4, 2, 2, 2, 2]",1024,128,111.990892
N=524288_Stage2_64_sbcc,64,"[16, 2, 2]",128,64,112.018944
N=524288_Stage2_64_sbcc,64,"[8, 2, 2, 2]",512,128,113.003492
N=524288_Stage2_64_sbcc,64,"[8, 2, 2, 2]",256,128,114.292353
N=524288_Stage1_4096_sbrr,4096,"[16, 16, 2, 2, 2, 2]",1024,1024,115.689576
N=524288_Stage1_4096_sbrr,4096,"[16, 16, 4, 2, 2]",1024,1024,116.525723
N=524288_Stage2_64_sbcc,64,"[4, 4, 2, 2]",1024,128,120.293864
N=524288_Stage2_64_sbcc,64,"[16, 4]",256,64,121.139451
N=524288_Stage2_64_sbcc,64,"[8, 2, 2, 2]",1024,128,123.32508
N=524288_Stage2_64_sbcc,64,"[8, 8]",256,64,123.676965
N=524288_Stage2_64_sbcc,64,"[16, 4]",1024,32,124.197117
N=524288_Stage2_64_sbcc,64,"[8, 4, 2]",512,128,124.984239
N=524288_Stage2_64_sbcc,64,"[8, 8]",512,64,125.110389
N=524288_Stage2_64_sbcc,64,"[4, 2, 2, 2, 2]",256,256,125.468942
N=524288_Stage2_64_sbcc,64,"[8, 4, 2]",256,128,126.108378
N=524288_Stage2_64_sbcc,64,"[8, 8]",128,64,126.114873
